appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
1520,DEFCON,Introversion Software,Introversion Software,,2647,416,0,"500,000 .. 1,000,000",71,0,36,0,999,999,0,"English, French, German, Italian, Spanish - Spain","Indie, Strategy",27,"{'Strategy': 262, 'Indie': 166, 'Wargame': 118, 'Cold War': 109, 'Multiplayer': 104, 'Real-Time with Pause': 58, 'Simulation': 55, 'RTS': 53, 'Psychological Horror': 52, 'Atmospheric': 52, 'War': 51, 'Diplomacy': 39, '2D': 37, 'Tactical': 33, 'Singleplayer': 29, 'Great Soundtrack': 27, 'Horror': 18, 'Addictive': 16, 'Dark': 16, 'Military': 8}"
1840,Source Filmmaker,Valve,Valve,,24065,1695,0,"1,000,000 .. 2,000,000",989,143,107,233,0,0,0,English,"Animation & Modeling, Video Production",1411,"{'Animation & Modeling': 658, 'Video Production': 464, 'Free to Play': 461, 'Software': 372, 'Movie': 280, 'Sandbox': 189, 'Difficult': 182, 'Funny': 148, 'Comedy': 121, 'Singleplayer': 105, 'Moddable': 97, 'Character Customization': 86, 'Memes': 72, 'Anime': 46, 'Great Soundtrack': 34, 'Games Workshop': 22, 'Sexual Content': 16, 'Illuminati': 12, 'Family Friendly': 12, 'Adventure': 11}"
1930,Two Worlds Epic Edition,Reality Pump Studios,Topware Interactive,,3484,1198,0,"500,000 .. 1,000,000",401,0,412,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian",RPG,57,"{'RPG': 714, 'Open World': 130, 'Fantasy': 94, 'Third Person': 69, 'Singleplayer': 66, 'Multiplayer': 65, 'Adventure': 63, 'Action': 56, 'Medieval': 49, 'Action RPG': 48, 'Story Rich': 33, 'Character Customization': 23, 'Dark Fantasy': 18, 'Magic': 15, 'Hack and Slash': 12, 'Co-op': 7, 'Exploration': 5, 'Classic': 5}"
2100,Dark Messiah of Might & Magic,Arkane Studios,Ubisoft,,6565,538,0,"1,000,000 .. 2,000,000",543,15,639,15,999,999,0,"English, French, German, Italian, Spanish - Spain","Action, RPG",66,"{'RPG': 479, 'First-Person': 413, 'Action': 393, 'Fantasy': 338, 'Dark Fantasy': 219, 'Adventure': 218, 'Swordplay': 216, 'Magic': 202, 'Classic': 163, 'Singleplayer': 131, 'Stealth': 130, 'Multiple Endings': 127, 'Story Rich': 105, 'Medieval': 100, 'Atmospheric': 93, 'Action RPG': 93, 'Gore': 77, 'Hack and Slash': 73, 'Multiplayer': 63, 'Immersive Sim': 46}"
2400,The Ship: Murder Party,Outerlight Ltd.,Blazing Griffin,,5016,822,0,"1,000,000 .. 2,000,000",224,1,174,1,999,999,0,"English, French, German, Italian, Spanish - Spain, Polish, Russian, Japanese","Action, Indie, RPG",12,"{'Multiplayer': 377, 'Indie': 173, 'First-Person': 150, 'Action': 149, 'Stealth': 135, 'RPG': 121, 'Mystery': 117, 'Assassin': 102, 'Funny': 80, 'Survival': 61, 'Singleplayer': 52, 'FPS': 51, 'Simulation': 51, 'Comedy': 50, 'Shooter': 44, 'Strategy': 42, 'Adventure': 41, 'Difficult': 30, 'Stylized': 28, 'Replay Value': 26}"
2630,Call of Duty 2,Infinity Ward,Activision,,4850,382,0,"2,000,000 .. 5,000,000",723,15,571,15,1499,1999,25,"English, French, German, Italian, Spanish - Spain",Action,415,"{'Action': 209, 'World War II': 197, 'FPS': 193, 'Multiplayer': 153, 'Singleplayer': 142, 'Shooter': 125, 'War': 112, 'Classic': 112, 'First-Person': 95, 'Historical': 83, 'Atmospheric': 55, 'Military': 48, 'Co-op': 21, 'Story Rich': 21, 'Adventure': 19, 'Controller': 14, 'Casual': 12, 'Zombies': 11, 'Online Co-Op': 10, 'Simulation': 8}"
2700,RollerCoaster Tycoon 3: Platinum,"Frontier, Aspyr (Mac)","Frontier, Aspyr (Mac)",,4211,432,0,"1,000,000 .. 2,000,000",727,0,299,0,0,0,0,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Finnish, Norwegian, Swedish","Simulation, Strategy",141,"{'Simulation': 303, 'Management': 268, 'Sandbox': 207, 'Building': 196, 'Strategy': 142, 'Singleplayer': 117, 'Economy': 87, 'Classic': 81, 'Real-Time with Pause': 71, 'Family Friendly': 53, 'Funny': 50, 'Moddable': 39, 'Multiplayer': 33, 'City Builder': 31, 'Great Soundtrack': 24, 'Open World': 24, 'Comedy': 23, 'Casual': 21, 'Free to Play': 18, 'Adventure': 9}"
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,52243,1878,0,"2,000,000 .. 5,000,000",918,248,425,265,499,499,0,English,Strategy,3523,"{'Tower Defense': 1140, 'Zombies': 996, 'Strategy': 778, 'Singleplayer': 656, 'Casual': 579, 'Comedy': 410, '2D': 355, 'Family Friendly': 328, 'Great Soundtrack': 310, 'Classic': 308, 'Funny': 282, 'Puzzle': 253, 'Cute': 236, 'Indie': 222, 'Addictive': 214, 'Survival': 209, 'Tactical': 171, 'Touch-Friendly': 110, 'Adventure': 101, 'Post-apocalyptic': 66}"
3830,Psychonauts,Double Fine Productions,Double Fine Productions,,10370,531,0,"2,000,000 .. 5,000,000",331,0,203,0,499,499,0,"English, French, German",Action,97,"{'Platformer': 628, 'Comedy': 551, 'Adventure': 480, 'Cult Classic': 443, 'Singleplayer': 405, 'Action': 366, 'Funny': 327, 'Third Person': 290, '3D Platformer': 263, 'Classic': 241, 'Story Rich': 190, 'Psychological': 166, 'Great Soundtrack': 130, 'Surreal': 86, 'Cartoony': 80, 'Exploration': 76, 'Collectathon': 73, 'Action-Adventure': 50, '3D': 43, '3D Vision': 28}"
3900,Sid Meier's Civilization IV,Firaxis Games,2K,,2156,175,0,"1,000,000 .. 2,000,000",273,0,289,0,1999,1999,0,"English, French, German, Italian, Spanish - Spain",Strategy,766,"{'Strategy': 286, 'Turn-Based Strategy': 203, 'Turn-Based': 170, '4X': 145, 'Historical': 125, 'Multiplayer': 99, 'Singleplayer': 86, 'Moddable': 64, 'Grand Strategy': 56, 'Classic': 53, 'Addictive': 46, 'Replay Value': 40, 'Simulation': 39, 'Resource Management': 38, 'Great Soundtrack': 31, 'War': 28, 'Economy': 27, 'Tactical': 25, 'Management': 18, 'City Builder': 7}"
